model,lambda,alpha_img,epochs,freeze_epochs,mAP50,mAP50_95,precision,recall,f1,fps,AP50_smoke,AP50_fire,weights_path
YOLOv8n Baseline,,,,,0.7057,0.3912,0.7112,0.6365,0.6718,56.33,0.7624,0.649,/kaggle/input/datasets/merc11123saad/bestpt-saad/best.pt
CLIP+YOLOv8n Hybrid,0.5,0.5,25.0,5.0,0.4057,0.1763,0.5257,0.4093,0.4603,77.9,0.2909,0.5204,/kaggle/working/hybrid_weights.pt
