Lambda,mAP50,mAP50-95,Precision,Recall,F1,AP50_Smoke,AP50_Fire,note
0.1,0.4696,0.2073,0.5608,0.4586,0.5046,0.4314,0.5078,sweep
0.3,0.4629,0.2088,0.5535,0.4577,0.5011,0.4527,0.4732,sweep
0.5,0.5367,0.2513,0.5696,0.5354,0.552,0.5146,0.5588,main run
1.0,0.4961,0.2249,0.5357,0.5165,0.526,0.463,0.5291,sweep
